time,E(kinetic),E(total),Temperature,E(potential),Pressure,Volume
fs,kcal/mol,kcal/mol,K,kcal/mol,bar,Å^3
0,87230.8413,-181933.2861,297.9077,-269164.1275,2026.9485,1321588.6521
1000,87188.4485,-109881.6228,297.763,-197070.0713,177.581,1293307.3464
2000,87237.4212,-95800.8545,297.9302,-183038.2756,190.6224,1282150.7914
3000,87404.193,-91756.0472,298.4998,-179160.2402,-158.8214,1268899.128
4000,87589.8604,-91160.6213,299.1338,-178750.4818,-2.6711,1261366.5348
5000,87330.6299,-91700.5189,298.2485,-179031.1488,95.6838,1252669.1381
6000,87001.3881,-92452.1359,297.1241,-179453.524,-74.0883,1250872.2053
7000,87305.0096,-93087.1459,298.161,-180392.1555,89.5408,1238428.2194
8000,87231.5612,-93590.6919,297.9102,-180822.2531,-31.406,1234973.6504
9000,87009.9668,-93713.3932,297.1534,-180723.36,185.02,1229716.5366
10000,87194.2625,-93732.0176,297.7828,-180926.28,1.2836,1228429.4411
11000,87367.2465,-93740.769,298.3736,-181108.0155,169.3175,1226453.374
12000,86975.2471,-93885.4663,297.0348,-180860.7135,355.4733,1223723.2098
13000,86997.9568,-94350.566,297.1124,-181348.5227,158.2375,1216858.5634
14000,87774.049,-93763.958,299.7629,-181538.007,153.5021,1214859.4992
15000,87147.7078,-94063.7503,297.6238,-181211.4581,37.2804,1212278.1281
16000,87453.4645,-93987.964,298.668,-181441.4285,-71.6228,1212519.3556
17000,87766.2448,-94098.8684,299.7362,-181865.1132,-207.9333,1208938.2652
18000,87318.2682,-94406.8823,298.2063,-181725.1505,-269.6916,1205727.2543
19000,87659.2262,-94350.9795,299.3707,-182010.2057,-400.7025,1207725.9357
20000,86862.3874,-95750.5394,296.6494,-182612.9268,-58.6064,1209688.6887
21000,86922.6214,-94845.9709,296.8551,-181768.5922,-209.2272,1207115.5034
22000,87497.5056,-94960.3275,298.8184,-182457.833,27.558,1206904.1339
23000,87146.1006,-94842.5131,297.6183,-181988.6138,-85.7486,1203820.3086
24000,86975.5403,-95662.9005,297.0358,-182638.4408,54.6873,1205637.2799
25000,87406.2897,-95042.9864,298.5069,-182449.2761,11.4037,1202462.5025
26000,87579.1746,-94232.1043,299.0974,-181811.2789,318.3378,1201925.267
27000,87195.004,-94675.8296,297.7853,-181870.8337,111.3494,1203922.3011
28000,86879.3956,-95498.7797,296.7075,-182378.1753,-135.9869,1199165.8463
29000,87406.2984,-94931.3545,298.507,-182337.6528,250.8047,1196527.523
30000,86887.9132,-95818.6,296.7366,-182706.5132,-51.7906,1195962.6091
31000,87228.1947,-95674.7359,297.8987,-182902.9306,208.2132,1194690.9783
