candidate_start_index,candidate_ts,candidate_all_pass,start_index,ts,m,n,admissible,mean_p,mean_z,dispersion_p,dispersion_z,pass,note
0,0.0,False,0,0.0,2,892,True,1.1947071466050839e-114,-22.758038939198805,9.863449045178529e-06,-4.4201454499568635,False,
0,0.0,False,0,0.0,5,356,True,2.0923509291624826e-50,-14.930327770170964,1.8430441320167176e-10,-6.373880337956803,False,
0,0.0,False,0,0.0,10,178,True,1.038142954171507e-26,-10.698164432320246,3.1075189717044217e-08,-5.535268520955913,False,
0,0.0,False,0,0.0,20,89,True,3.726948916216009e-15,-7.863785712929687,2.2338431752966836e-06,-4.731029259468739,False,
0,0.0,False,0,0.0,25,71,True,1.8104600289213811e-12,-7.04835443855835,1.5491112628232922e-06,-4.804793729946819,False,
11,11000.0,False,11,11000.0,2,886,True,2.870024907064617e-109,-22.20807015150531,0.017699889196083795,-2.3718371679578123,False,
11,11000.0,False,11,11000.0,5,354,True,3.339073338815237e-49,-14.744474786504032,3.1412877048446084e-09,-5.924039071031677,False,
11,11000.0,False,11,11000.0,10,177,True,2.6825541862346625e-26,-10.60982346861315,2.8502012422458043e-08,-5.550397904481948,False,
11,11000.0,False,11,11000.0,20,88,True,7.181878695842754e-15,-7.781237033324916,1.291864161753715e-07,-5.279996412144976,False,
11,11000.0,False,11,11000.0,25,70,True,3.51136508962167e-12,-6.9555711494450625,3.3688879155430184e-05,-4.146980466651648,False,
22,22000.0,False,22,22000.0,2,881,True,6.356970647161914e-108,-22.068423417615442,0.00040495958114318326,-3.5368304283151857,False,
22,22000.0,False,22,22000.0,5,352,True,8.617625545070536e-48,-14.523363170067325,2.7029618161230013e-09,-5.948690498479775,False,
22,22000.0,False,22,22000.0,10,176,True,5.562097108508889e-26,-10.541472717738424,3.3244524704936697e-08,-5.523429751484012,False,
22,22000.0,False,22,22000.0,20,88,True,4.5799029675143737e-14,-7.543366887794835,8.941669694058069e-05,-3.917649215018149,False,
22,22000.0,False,22,22000.0,25,70,True,2.447593482336606e-12,-7.006267732166965,1.3217584843498828e-06,-4.836453991669526,False,
33,33000.0,False,33,33000.0,2,875,True,1.3349457224308726e-102,-21.507136599271163,0.025350610936300668,-2.236017712497322,False,
33,33000.0,False,33,33000.0,5,350,True,5.777803009103466e-46,-14.232266884824986,3.682063630511438e-08,-5.505459615389094,False,
33,33000.0,False,33,33000.0,10,175,True,7.630959117301841e-25,-10.292326929167848,1.3438475621139149e-08,-5.680394074999607,False,
33,33000.0,False,33,33000.0,20,87,True,1.9367889219492556e-14,-7.654756486584662,2.190270191221494e-09,-5.983028058479966,False,
33,33000.0,False,33,33000.0,25,70,True,5.0221705281872364e-11,-6.570277120758601,0.00015559519873945533,-3.7819650710539476,False,
44,44000.0,False,44,44000.0,2,870,True,2.9037514101177216e-101,-21.363774185365504,0.0016181116938517777,-3.1526220366707944,False,
44,44000.0,False,44,44000.0,5,348,True,6.925964880080564e-45,-14.057532089482917,3.194074115093368e-07,-5.111620246413585,False,
44,44000.0,False,44,44000.0,10,174,True,1.0827662887591213e-24,-10.258589568955928,7.29623356042111e-09,-5.783959914290808,False,
44,44000.0,False,44,44000.0,20,87,True,9.90788799030639e-14,-7.44212436195731,3.544476751599644e-05,-4.1353282168905645,False,
