candidate_start_index,candidate_ts,candidate_all_pass,start_index,ts,m,n,admissible,mean_p,mean_z,dispersion_p,dispersion_z,pass,note
0,0.0,False,0,0.0,2,10000,True,0.0,-44.14534677491682,0.1296986312390971,-1.5152913763479332,False,
0,0.0,False,0,0.0,5,4000,True,0.0,-38.54528530360666,0.12062721487517958,-1.552146328551897,False,
0,0.0,False,0,0.0,10,2000,True,3.36364015883053e-232,-32.53544694085915,0.055103077522652415,-1.9180625723510505,False,
0,0.0,False,0,0.0,20,1000,True,7.190163986060709e-147,-25.808111852971155,0.1832349581889019,-1.3308603732074493,False,
0,0.0,False,0,0.0,40,500,True,4.873257022323551e-90,-20.12058181039895,0.1665692910320512,-1.383311768607132,False,
133,133.0,False,133,133.0,2,9933,True,0.0,-43.089071835173044,0.07905185667139779,-1.7562141079323057,False,
133,133.0,False,133,133.0,5,3973,True,2.556176124573455e-309,-37.595396050176255,0.06519012476815245,-1.8439520757676682,False,
133,133.0,False,133,133.0,10,1986,True,4.377493725393323e-220,-31.66733876452589,0.10122448900386098,-1.6389460835829432,False,
133,133.0,False,133,133.0,20,993,True,3.5890907631121e-145,-25.656377087068517,0.15564640106655328,-1.4198670127122035,False,
133,133.0,False,133,133.0,40,496,True,1.0830364197780178e-90,-20.195010559496858,0.15715483202436242,-1.414705599195616,False,
266,266.0,False,266,266.0,2,9867,True,0.0,-42.4041206812724,0.06976768051658595,-1.813416020153471,False,
266,266.0,False,266,266.0,5,3946,True,5.613304914310474e-309,-37.574481514544146,0.05578943398794791,-1.9126768548641715,False,
266,266.0,False,266,266.0,10,1973,True,3.2490740285740414e-219,-31.604040573968597,0.13765354368116153,-1.4845859344853236,False,
266,266.0,False,266,266.0,20,986,True,3.487809492081235e-144,-25.56772705310166,0.11875886254603013,-1.5600043105547583,False,
266,266.0,False,266,266.0,40,493,True,2.4614035524885251e-88,-19.925183938699302,0.12201067506296574,-1.5463888926096956,False,
399,399.0,False,399,399.0,2,9800,True,0.0,-41.3971047845163,0.11550430458190936,-1.5739270971428327,False,
399,399.0,False,399,399.0,5,3920,True,7.439900020436319e-291,-36.447852595374954,0.05741426855326802,-1.9001436669791105,False,
399,399.0,False,399,399.0,10,1960,True,3.23694285189197e-213,-31.1643995846069,0.07042447986782423,-1.8091707528054652,False,
399,399.0,False,399,399.0,20,980,True,2.2586079774765394e-138,-25.039734433081545,0.14571273772720653,-1.4548429751702423,False,
399,399.0,False,399,399.0,40,490,True,1.2939123292113292e-84,-19.491592432783712,0.13866344691424068,-1.480786605618961,False,
532,532.0,False,532,532.0,2,9734,True,0.0,-40.7024733534454,0.057032160227570274,-1.9030642641569664,False,
532,532.0,False,532,532.0,5,3893,True,1.4483707017654263e-283,-35.984760229818406,0.004509280627406607,-2.840146595703632,False,
532,532.0,False,532,532.0,10,1946,True,5.605893109243067e-206,-30.62548036203981,0.018937936898619997,-2.346750390974525,False,
532,532.0,False,532,532.0,20,973,True,7.576252321394376e-135,-24.71393047906728,0.0852436463492367,-1.7210395554239946,False,
532,532.0,False,532,532.0,40,486,True,1.824706350132345e-85,-19.591571375096542,0.1039466102213385,-1.626014314709194,False,
665,665.0,False,665,665.0,2,9667,True,0.0,-39.546696633330875,0.11860317811169534,-1.560663455423529,False,
665,665.0,False,665,665.0,5,3867,True,5.225432567970361e-273,-35.30330364563574,0.08069567793318277,-1.746663772808326,False,
665,665.0,False,665,665.0,10,1933,True,7.860269847209555e-199,-30.083940162550263,0.13759442906686678,-1.4848089927031742,False,
665,665.0,False,665,665.0,20,966,True,3.2619609170426383e-133,-24.561468513425414,0.0772904560036861,-1.7666285523436962,False,
665,665.0,False,665,665.0,40,483,True,5.299131064777998e-83,-19.30069536174765,0.1410581077333559,-1.4718621451924871,False,
798,798.0,False,798,798.0,2,9601,True,0.0,-38.795701765289664,0.03688561222089421,-2.0870279044540507,False,
798,798.0,False,798,798.0,5,3840,True,2.0364365777323064e-256,-34.2050161745148,0.035638883554673026,-2.1010237261851574,False,
798,798.0,False,798,798.0,10,1920,True,3.289257905026623e-195,-29.805765062475754,0.03066898162746368,-2.1613413418425167,False,
798,798.0,False,798,798.0,20,960,True,4.690965047555499e-128,-24.073911829124693,0.07952003950287649,-1.7534777264885004,False,
798,798.0,False,798,798.0,40,480,True,1.8795326095170386e-79,-18.873624694934158,0.0698415928179941,-1.8129366491594996,False,
931,931.0,False,931,931.0,2,9534,True,0.0,-37.73005456764029,0.13497108093893379,-1.4947830133432634,False,
