candidate_start_index,candidate_ts,candidate_all_pass,start_index,ts,m,n,admissible,mean_p,mean_z,dispersion_p,dispersion_z,pass,note
0,0.0,False,0,0.0,2,10000,True,0.924048067131431,0.09533585127087545,5.8976350408918356e-21,-9.39181275784451,False,
0,0.0,False,0,0.0,5,4000,True,0.2958895686334433,1.0452886784667748,2.3513521767720572e-20,-9.245047968594728,False,
0,0.0,False,0,0.0,10,2000,True,0.36790381663635063,0.9004067750535331,3.908984797552415e-11,-6.607487006761303,False,
0,0.0,False,0,0.0,20,1000,True,0.5480191833690178,0.6007309769225448,1.5981967637966775e-06,-4.798548417365046,False,
0,0.0,False,0,0.0,40,500,True,0.5597054653146765,0.5832790471155773,0.0003656512336540908,-3.5637090517612746,False,
133,133.0,False,133,133.0,2,9933,True,0.8679168248116104,0.16630513546244874,5.417989705102825e-21,-9.400741479698894,False,
133,133.0,False,133,133.0,5,3973,True,0.24937216720733169,1.151875670358177,8.221860762163378e-20,-9.110215350907925,False,
133,133.0,False,133,133.0,10,1986,True,0.38278745909869805,0.8727718259443757,6.318745383869962e-11,-6.5359963559812995,False,
133,133.0,False,133,133.0,20,993,True,0.4079914191435039,0.8274334652719318,2.4694946463479227e-06,-4.710632270566882,False,
133,133.0,False,133,133.0,40,496,True,0.39767200832380345,0.8457862303797443,0.00031712213358358064,-3.6008962337969304,False,
266,266.0,False,266,266.0,2,9867,True,0.9144494058809713,0.10742804584553338,1.0013968307272147e-19,-9.088798317671056,False,
266,266.0,False,266,266.0,5,3946,True,0.24938430952116775,1.151846126393535,1.1392172874735216e-19,-9.0747662831057,False,
266,266.0,False,266,266.0,10,1973,True,0.3304784516941688,0.9731506140561972,9.231035868905236e-11,-6.479036197335154,False,
266,266.0,False,266,266.0,20,986,True,0.570587632366369,0.5671862742818877,2.9122345041068e-06,-4.676914611285815,False,
266,266.0,False,266,266.0,40,493,True,0.5727609356332233,0.5639900031266294,0.0004325303606675524,-3.5193961330478314,False,
399,399.0,False,399,399.0,2,9800,True,0.8725652162572463,0.16040098181466864,3.945476576956126e-23,-9.905359715060158,False,
399,399.0,False,399,399.0,5,3920,True,0.4718987534836032,0.7193930895525842,9.985524366168127e-22,-9.577051117318817,False,
399,399.0,False,399,399.0,10,1960,True,0.44721059802419805,0.7600735900676344,8.133867819263143e-12,-6.836169537148574,False,
399,399.0,False,399,399.0,20,980,True,0.4751149984535501,0.7141814296137619,6.909222346210251e-07,-4.963898044302739,False,
399,399.0,False,399,399.0,40,490,True,0.39900357352283,0.8434021435211314,0.00025468303490093014,-3.6575042530431774,False,
532,532.0,False,532,532.0,2,9734,True,0.9436175803259582,0.07072379783514761,3.4768988531360384e-26,-10.585561482760275,False,
532,532.0,False,532,532.0,5,3893,True,0.45080098208641073,0.7540803394760618,1.257722830453091e-25,-10.464474634154232,False,
532,532.0,False,532,532.0,10,1946,True,0.5945569964735131,0.5322440226992149,5.556143471115283e-14,-7.5181389538716745,False,
532,532.0,False,532,532.0,20,973,True,0.6924241280987524,0.3955674846182553,5.481815360717079e-08,-5.434929332356737,False,
532,532.0,False,532,532.0,40,486,True,0.6761762556522918,0.41768662073169466,4.047775878296562e-05,-4.1047355860660915,False,
665,665.0,False,665,665.0,2,9667,True,0.9386718568310503,0.0769392704357498,7.651979937013415e-33,-11.93633657522865,False,
665,665.0,False,665,665.0,5,3867,True,0.6020518539971975,0.5214521165290207,4.220841840035669e-30,-11.399178261293569,False,
665,665.0,False,665,665.0,10,1933,True,0.683573850969407,0.4075911660142676,2.9240679898677457e-16,-8.176417817966241,False,
665,665.0,False,665,665.0,20,966,True,0.6949217116957414,0.3921847492712806,2.583973915194213e-09,-5.956056271137722,False,
665,665.0,False,665,665.0,40,483,True,0.742137246678332,0.32902439825430213,9.025624310540372e-06,-4.4392897369954385,False,
798,798.0,False,798,798.0,2,9601,True,0.9693472876685977,0.03842693267254654,1.0454929058791534e-33,-12.100829550308493,False,
798,798.0,False,798,798.0,5,3840,True,0.44314385666456346,0.7668951514241474,4.684556249192737e-33,-11.977094469472313,False,
798,798.0,False,798,798.0,10,1920,True,0.5737162850095813,0.5625867963766874,1.3083013567599546e-17,-8.542956961744379,False,
798,798.0,False,798,798.0,20,960,True,0.6346590636844531,0.4751794632101431,5.961617139353075e-10,-6.191442274085926,False,
798,798.0,False,798,798.0,40,480,True,0.7413116924431955,0.33011682268277454,4.901920466152361e-06,-4.568942150694035,False,
